"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Personen per soort uitkering/Werkloosheidsuitkering (aantal)";"Personen per soort uitkering/Bijstandsuitkering (aantal)";"Personen per soort uitkering/Arbeidsongeschiktheidsuitkering (aantal)";"Personen per soort uitkering/AOW-uitkering (aantal)";"Personen per soort uitkering, relatief/Werkloosheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Bijstandsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/Arbeidsongeschiktheidsuitkering (% van het aantal inwoners vanaf 15 jaar)";"Personen per soort uitkering, relatief/AOW-uitkering (% van het aantal inwoners vanaf 15 jaar)";"Inwoners/Inwoners vanaf 15 jaar (aantal)";"Inwoners/Inwoners vanaf 15 jr tot AOW-leeftijd (aantal)";"Inwoners/Inwoners vanaf de AOW-leeftijd (aantal)"
"2015 maart";"Totaal";"                                        ";"        ";"NL00      ";"";"  389040";"  441870";"  772160";" 3300310";"";"";"";"";"";"";""
"2015 juni";"Totaal";"                                        ";"        ";"NL00      ";"";"  376810";"  442370";"  764850";" 3323890";"";"";"";"";"";"";""
"2015 september";"Totaal";"                                        ";"        ";"NL00      ";"";"  362980";"  439990";"  761140";" 3349280";"";"";"";"";"";"";""
"2015 december";"Totaal";"                                        ";"        ";"NL00      ";"";"  393020";"  448660";"  757890";" 3371730";"";"";"";"";"";"";""
"2015 maart";"Nederland";"                                        ";"        ";"NL01      ";"";"  384160";"  441390";"  748890";" 2964280";"       3";"       3";"       5";"      21";"14091870";"11119760";" 2972110"
"2015 juni";"Nederland";"                                        ";"        ";"NL01      ";"";"  371410";"  441930";"  741640";" 2986680";"       3";"       3";"       5";"      21";"14110060";"11115290";" 2994780"
"2015 september";"Nederland";"                                        ";"        ";"NL01      ";"";"  358210";"  439500";"  738040";" 3009030";"       3";"       3";"       5";"      21";"14150290";"11132980";" 3017320"
"2015 december";"Nederland";"                                        ";"        ";"NL01      ";"";"  386200";"  448200";"  734830";" 3028890";"       3";"       3";"       5";"      21";"14175430";"11138180";" 3037240"
"2015 maart";"Buitenland";"                                        ";"        ";"NL98      ";"";"    4890";"     490";"   23270";"  336020";"";"";"";"";"";"";""
"2015 juni";"Buitenland";"                                        ";"        ";"NL98      ";"";"    5400";"     450";"   23210";"  337210";"";"";"";"";"";"";""
"2015 september";"Buitenland";"                                        ";"        ";"NL98      ";"";"    4770";"     490";"   23100";"  340250";"";"";"";"";"";"";""
"2015 december";"Buitenland";"                                        ";"        ";"NL98      ";"";"    6820";"     460";"   23060";"  342840";"";"";"";"";"";"";""
"2015 maart";"Appingedam";"Appingedam                              ";"Gemeente";"GM0003    ";"       .";"     350";"     470";"     710";"    2710";"       3";"       5";"       7";"      27";"   10120";"    7410";"    2710"
"2015 juni";"Appingedam";"Appingedam                              ";"Gemeente";"GM0003    ";"       .";"     340";"     480";"     710";"    2710";"       3";"       5";"       7";"      27";"   10120";"    7410";"    2720"
"2015 september";"Appingedam";"Appingedam                              ";"Gemeente";"GM0003    ";"       .";"     310";"     470";"     710";"    2750";"       3";"       5";"       7";"      27";"   10150";"    7390";"    2760"
"2015 december";"Appingedam";"Appingedam                              ";"Gemeente";"GM0003    ";"       .";"     340";"     490";"     710";"    2780";"       3";"       5";"       7";"      27";"   10180";"    7390";"    2790"
"2015 maart";"Wijk 00";"Appingedam                              ";"Wijk    ";"WK000300  ";"       1";"     350";"     470";"     710";"    2710";"       3";"       5";"       7";"      27";"   10120";"    7410";"    2710"
"2015 juni";"Wijk 00";"Appingedam                              ";"Wijk    ";"WK000300  ";"       1";"     340";"     480";"     710";"    2710";"       3";"       5";"       7";"      27";"   10120";"    7410";"    2720"
"2015 september";"Wijk 00";"Appingedam                              ";"Wijk    ";"WK000300  ";"       1";"     310";"     470";"     710";"    2750";"       3";"       5";"       7";"      27";"   10150";"    7390";"    2760"
"2015 december";"Wijk 00";"Appingedam                              ";"Wijk    ";"WK000300  ";"       1";"     340";"     490";"     710";"    2780";"       3";"       5";"       7";"      27";"   10180";"    7390";"    2790"
"2015 maart";"Appingedam-Centrum";"Appingedam                              ";"Buurt   ";"BU00030000";"       1";"      70";"      80";"     180";"     700";"       3";"       4";"       9";"      34";"    2080";"    1380";"     700"
"2015 juni";"Appingedam-Centrum";"Appingedam                              ";"Buurt   ";"BU00030000";"       1";"      60";"      80";"     180";"     700";"       3";"       4";"       9";"      34";"    2080";"    1380";"     700"
"2015 september";"Appingedam-Centrum";"Appingedam                              ";"Buurt   ";"BU00030000";"       1";"      60";"      80";"     180";"     700";"       3";"       4";"       9";"      34";"    2080";"    1380";"     710"
"2015 december";"Appingedam-Centrum";"Appingedam                              ";"Buurt   ";"BU00030000";"       1";"      60";"      90";"     180";"     710";"       3";"       4";"       9";"      34";"    2110";"    1400";"     710"
"2015 maart";"Appingedam-West";"Appingedam                              ";"Buurt   ";"BU00030001";"       1";"      80";"      60";"     120";"     570";"       3";"       2";"       5";"      22";"    2550";"    1980";"     570"
"2015 juni";"Appingedam-West";"Appingedam                              ";"Buurt   ";"BU00030001";"       1";"      70";"      70";"     120";"     570";"       3";"       3";"       5";"      22";"    2550";"    1990";"     570"
"2015 september";"Appingedam-West";"Appingedam                              ";"Buurt   ";"BU00030001";"       1";"      70";"      60";"     120";"     570";"       3";"       2";"       5";"      22";"    2560";"    1990";"     570"
"2015 december";"Appingedam-West";"Appingedam                              ";"Buurt   ";"BU00030001";"       1";"      90";"      60";"     130";"     570";"       3";"       2";"       5";"      22";"    2560";"    1990";"     570"
"2015 maart";"Appingedam-Oost";"Appingedam                              ";"Buurt   ";"BU00030002";"       1";"     180";"     320";"     370";"    1370";"       4";"       6";"       8";"      27";"    5020";"    3650";"    1370"
"2015 juni";"Appingedam-Oost";"Appingedam                              ";"Buurt   ";"BU00030002";"       1";"     190";"     330";"     370";"    1370";"       4";"       7";"       7";"      27";"    5010";"    3640";"    1380"
"2015 september";"Appingedam-Oost";"Appingedam                              ";"Buurt   ";"BU00030002";"       1";"     160";"     330";"     370";"    1400";"       3";"       7";"       7";"      28";"    5020";"    3630";"    1400"
"2015 december";"Appingedam-Oost";"Appingedam                              ";"Buurt   ";"BU00030002";"       1";"     170";"     340";"     370";"    1420";"       3";"       7";"       7";"      28";"    5030";"    3600";"    1430"
"2015 maart";"Verspr.h. Damsterdiep en Eemskanaal";"Appingedam                              ";"Buurt   ";"BU00030007";"       1";"      10";"       0";"      20";"      30";"       4";"       0";"       8";"      11";"     270";"     240";"      30"
"2015 juni";"Verspr.h. Damsterdiep en Eemskanaal";"Appingedam                              ";"Buurt   ";"BU00030007";"       1";"      10";"       0";"      20";"      30";"       3";"       0";"       8";"      11";"     270";"     240";"      30"
"2015 september";"Verspr.h. Damsterdiep en Eemskanaal";"Appingedam                              ";"Buurt   ";"BU00030007";"       1";"      10";"       0";"      20";"      30";"       2";"       0";"       9";"      11";"     270";"     240";"      30"
"2015 december";"Verspr.h. Damsterdiep en Eemskanaal";"Appingedam                              ";"Buurt   ";"BU00030007";"       1";"      10";"       0";"      20";"      30";"       2";"       0";"       8";"      11";"     270";"     240";"      30"
"2015 maart";"Verspr.h. ten zuiden van Eemskanaal";"Appingedam                              ";"Buurt   ";"BU00030008";"       1";"       0";"       0";"      10";"      20";"       4";"       2";"       6";"      19";"      90";"      70";"      20"
"2015 juni";"Verspr.h. ten zuiden van Eemskanaal";"Appingedam                              ";"Buurt   ";"BU00030008";"       1";"       0";"       0";"      10";"      20";"       2";"       1";"       6";"      18";"      80";"      70";"      20"
"2015 september";"Verspr.h. ten zuiden van Eemskanaal";"Appingedam                              ";"Buurt   ";"BU00030008";"       1";"       0";"       0";"      10";"      20";"       5";"       1";"       7";"      19";"      80";"      70";"      20"
"2015 december";"Verspr.h. ten zuiden van Eemskanaal";"Appingedam                              ";"Buurt   ";"BU00030008";"       1";"      10";"       0";"      10";"      20";"       6";"       1";"       8";"      19";"      90";"      70";"      20"
"2015 maart";"Verspr.h. ten N. van het Damsterdiep";"Appingedam                              ";"Buurt   ";"BU00030009";"       1";"       0";"       0";"       0";"      30";"       3";"       3";"       3";"      25";"     120";"      90";"      30"
"2015 juni";"Verspr.h. ten N. van het Damsterdiep";"Appingedam                              ";"Buurt   ";"BU00030009";"       1";"      10";"       0";"       0";"      30";"       4";"       2";"       3";"      24";"     130";"     100";"      30"
"2015 september";"Verspr.h. ten N. van het Damsterdiep";"Appingedam                              ";"Buurt   ";"BU00030009";"       1";"      10";"       0";"       0";"      30";"       6";"       2";"       3";"      23";"     130";"     100";"      30"
"2015 december";"Verspr.h. ten N. van het Damsterdiep";"Appingedam                              ";"Buurt   ";"BU00030009";"       1";"      10";"       0";"       0";"      30";"       6";"       2";"       3";"      24";"     130";"     100";"      30"
"2015 maart";"Amsterdam";"Amsterdam                               ";"Gemeente";"GM0363    ";"       .";"   19380";"   42710";"   36350";"   95510";"       3";"       6";"       5";"      14";"  697990";"  601890";"   96100"
"2015 juni";"Amsterdam";"Amsterdam                               ";"Gemeente";"GM0363    ";"       .";"   19020";"   42360";"   35890";"   96260";"       3";"       6";"       5";"      14";"  699010";"  602140";"   96870"
"2015 september";"Amsterdam";"Amsterdam                               ";"Gemeente";"GM0363    ";"       .";"   17870";"   41550";"   35510";"   96880";"       3";"       6";"       5";"      14";"  702650";"  605150";"   97510"
"2015 december";"Amsterdam";"Amsterdam                               ";"Gemeente";"GM0363    ";"       .";"   18310";"   41700";"   35140";"   97690";"       3";"       6";"       5";"      14";"  704740";"  606430";"   98320"
"2015 maart";"'s-Gravenhage";"'s-Gravenhage (gemeente)                ";"Gemeente";"GM0518    ";"       .";"   11920";"   26660";"   23210";"   70330";"       3";"       6";"       6";"      17";"  424530";"  353780";"   70750"
"2015 juni";"'s-Gravenhage";"'s-Gravenhage (gemeente)                ";"Gemeente";"GM0518    ";"       .";"   11490";"   26790";"   23070";"   70820";"       3";"       6";"       5";"      17";"  424720";"  353460";"   71260"
"2015 september";"'s-Gravenhage";"'s-Gravenhage (gemeente)                ";"Gemeente";"GM0518    ";"       .";"   11120";"   26690";"   22990";"   71240";"       3";"       6";"       5";"      17";"  427020";"  355330";"   71690"
"2015 december";"'s-Gravenhage";"'s-Gravenhage (gemeente)                ";"Gemeente";"GM0518    ";"       .";"   12450";"   27140";"   23020";"   71650";"       3";"       6";"       5";"      17";"  428270";"  356170";"   72100"
